[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_15bq5dk._.js → 200 (12ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_client_07bcdkm._.js → 200 (74ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_1c01jkj._.js → 200 (54ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/0vvp_%40swc_helpers_cjs_0vb02wp._.js → 200 (67ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (56ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/turbopack-_1z0ql8a._.js → 200 (71ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/_0f1kbee._.js → 200 (55ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/src_1_ba46s._.js → 200 (104ms, 23582B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_1gyjs2j._.js → 200 (80ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/1sjr_%40supabase_auth-js_dist_module_1np_ckv._.js → 200 (91ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_1dp28zq._.js → 200 (101ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/src_02e8glw._.js → 200 (81ms, ?B)
[2026-08-14T12:07:55.813Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_04zojw8._.js → 200 (102ms, ?B)
[2026-08-14T12:07:55.891Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (24ms, ?B)
[2026-08-14T12:07:55.905Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, -209B)
[2026-08-14T12:07:55.905Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (4ms, -209B)
[2026-08-14T12:07:55.928Z] GET https://rtooegnchqutircafywz.supabase.co/rest/v1/luna_my_design_projects?select=project_id%2Cchats%2Cdesign_data&project_id=eq.123 → pending (?ms, ?B)
[2026-08-14T12:07:56.927Z] POST https://rtooegnchqutircafywz.supabase.co/rest/v1/luna_my_design_projects?on_conflict=project_id → pending (?ms, ?B)
[2026-08-14T12:07:57.328Z] GET https://mydesigns.pro/img/luna-logo.jpg → 200 (8ms, -236B)
[2026-08-14T12:10:59.822Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0&_rsc=NjVT1DPryfVv0IEN → 200 (94ms, ?B)
[2026-08-14T12:11:31.595Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0&_rsc=NjVT1DPryfVv0IEN → pending (?ms, ?B)
[2026-08-14T12:11:31.609Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0 → pending (?ms, ?B)
[2026-08-14T12:11:31.610Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0 → pending (?ms, ?B)
[2026-08-14T12:11:31.780Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, -300B)
[2026-08-14T12:11:31.780Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.0wgildi0cnwt9.woff2 → 200 (?ms, -300B)
[2026-08-14T12:11:31.780Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 304 (90ms, ?B)
[2026-08-14T12:11:31.795Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1y-1ge1._.js → 200 (83ms, ?B)
[2026-08-14T12:11:31.795Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_next-devtools_index_0rol6yq.js → 200 (100ms, ?B)
[2026-08-14T12:11:31.797Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_react-dom_0e5l7xx._.js → 200 (105ms, ?B)
[2026-08-14T12:11:31.797Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_react-server-dom-turbopack_1nzjt2z._.js → 200 (115ms, ?B)
[2026-08-14T12:11:31.797Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_15bq5dk._.js → 200 (97ms, ?B)
[2026-08-14T12:11:31.797Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_client_07bcdkm._.js → 200 (139ms, ?B)
[2026-08-14T12:11:31.797Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_1c01jkj._.js → 200 (141ms, ?B)
[2026-08-14T12:11:31.797Z] GET http://localhost:3000/_next/static/chunks/0vvp_%40swc_helpers_cjs_0vb02wp._.js → 200 (141ms, ?B)
[2026-08-14T12:11:31.798Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (150ms, ?B)
[2026-08-14T12:11:31.798Z] GET http://localhost:3000/_next/static/chunks/turbopack-_1z0ql8a._.js → 200 (151ms, ?B)
[2026-08-14T12:11:31.798Z] GET http://localhost:3000/_next/static/chunks/_18x7jxu._.js → 200 (151ms, ?B)
[2026-08-14T12:11:31.962Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (43ms, ?B)
[2026-08-14T12:11:31.962Z] GET http://localhost:3000/_next/static/chunks/src_1_ba46s._.js → 200 (57ms, 23600B)
